Change Pair,Count
"('- and', None)",440
"('- <a', None)",382
"('- to', None)",322
"('+ the', '+ original')",320
"('+ description,', '+ the')",291
"('+ job', '+ is')",286
"('+ located', '+ in')",278
"('+ Based', '+ on')",273
"('- a', None)",269
"('- the', None)",244
"('- of', None)",225
"('- in', None)",152
"('+ in', '+ the')",133
"('- with', None)",129
"('+ ', '+ ')",127
"('+ on', '+ the')",110
"('- our', None)",107
"('+ the', '+ job')",100
"('- you', None)",99
"('- for', None)",98
"('+ original', '+ description,')",98
"('+ is', '+ located')",98
"('+ The', '+ company,')",95
"('+ for', '+ the')",94
"('+ seeking', '+ a')",90
"('- is', None)",90
"('+ qualified', '+ individual')",89
"('- have', None)",85
"('- -', None)",82
"('- or', None)",79
"('+ ones', '+ and')",78
"('+ candidate', '+ would')",75
"('+ The', '+ ideal')",75
"('+ following', '+ technologies:')",74
"('+ be', '+ skilled')",73
"('- are', None)",72
"('- *', None)",71
"('- We', None)",68
"('+ is', '+ seeking')",68
"('+ individual', '+ for')",67
"('+ a', '+ qualified')",67
"('- on', None)",64
"('+ would', '+ be')",63
"('- we', None)",62
"('+ ideal', '+ candidate')",62
"('- that', None)",62
"('+ the', '+ following')",62
"('+ skilled', '+ in')",61
"('+ position.', '+ The')",61
"('- be', None)",57
"('- an', None)",57
"('- You', None)",56
"('- at', None)",53
"('- (<a', None)",50
"('- as', None)",49
"('- from', None)",46
"('+ *', '+ *')",45
"('- but', None)",44
"('- this', None)",43
"('- team', None)",40
"('+ Write', '+ a')",40
"('+ new', '+ job')",40
"('- work', None)",40
"('+ description', '+ using')",39
"('+ remote', '+ work')",37
"('+ for', '+ this')",37
"('+ work', '+ options')",37
"('+ job', '+ are')",37
"('+ currently', '+ unknown.')",37
"('+ only', '+ the')",37
"('+ information', '+ provided')",36
"('+ The', '+ remote')",35
"('- like', None)",34
"('- REDACTED_EMAIL', None)",33
"('+ are', '+ currently')",33
"('+ this', '+ job')",32
"('- email', None)",32
"('- data', None)",32
"('+ options', '+ for')",32
"('+ R', '+ R')",32
"('- your', None)",31
"('- href=""', None)",31
"('+ unknown.', '+ Write')",31
"('- REDACTED_EMAIL', ""+ REDACTED_EMAIL'"")",31
"('+ the', '+ information')",31
"('+ using', '+ only')",31
"('+ job', '+ description')",31
"('+ a', '+ new')",31
"('- experience', None)",31
"('+ provided', '+ in')",30
"('- software', None)",30
"('- The', None)",29
"('- us', None)",29
"('- will', None)",29
"('- working', None)",28
"('- Our', None)",28
"('- people', None)",28
"('- If', None)",28
"('+ so,', '+ so,')",27
"('- web', None)",27
"('- >', None)",26
"('- who', None)",26
"('+ CA.', '+ The')",26
"('- •', None)",25
"('- by', None)",25
"('- looking', None)",25
"('- into', None)",24
"('+ San', '+ Francisco,')",24
"('- can', None)",24
"(""- We're"", None)",24
"('- all', None)",23
"('- Experience', None)",22
"('+ We', '+ are')",22
"('- built', None)",21
"('+ Union', '+ Square.')",21
"('- mobile', None)",20
"('- about', None)",20
"('- love', None)",20
"('+ looking', '+ for')",20
"('+ in', '+ San')",19
"('- think', None)",19
"(""+ '"", '+ Based')",19
"('- more', None)",19
"('+ Checkout', '+ for')",19
"('+ more', '+ info.')",19
"('- build', None)",19
"('- get', None)",18
"('- other', None)",18
"('- code', None)",18
"('+ (and', '+ previous')",18
"('- building', None)",18
"('- development', None)",18
"('- it', None)",17
"('- any', None)",17
"('- want', None)",17
"('- well', None)",17
"('- product', None)",17
"('+ threads),', '+ see')",17
"('- one', None)",16
"('- new', None)",16
"('+ original', '+ description.')",16
"(""- we're"", None)",16
"('+ of', '+ the')",16
"('- their', None)",16
"('- design', None)",16
"('- A', None)",16
"('- out', None)",15
"('- if', None)",15
"('+ previous', '+ threads),')",15
"('- very', None)",15
"('- engineers', None)",15
"('+ San', '+ Francisco.')",15
"('+ thread', '+ (and')",15
"('+ based', '+ on')",15
"('- so', None)",15
"('- systems', None)",14
"('+ San', '+ Francisco')",14
"('- should', None)",14
"('- >', ""+ >'"")",14
"('- me', None)",14
"('- I', None)",14
"('+ ()', None)",14
"('- help', None)",14
"(""- You'll"", None)",14
"('- use', None)",14
"('- need', None)",13
"('- company', None)",13
"('+ the', '+ thread')",13
"('- skills', None)",12
"('- across', None)",12
"('- production', None)",12
"('- would', None)",12
"('- iOS', None)",12
"('+ original', '+ description')",12
"(""- We've"", None)",12
"('- +', None)",12
"('- which', None)",12
"('- code.', None)",12
"('- code,', None)",12
"('- also', None)",12
"('- things', None)",12
"('- send', None)",12
"('- what', None)",12
"('- make', None)",12
"('+ for', '+ a')",11
"('- own', None)",11
"('- feel', None)",11
"('+ If', ""+ you're"")",11
"('+ an', '+ email')",11
"('+ and', '+ we')",11
"('- best', None)",11
"('- This', None)",11
