Deletion,Addition,Count,Row Indices,Meaningful,Protected Entity Error,Syntax Error,Link Change
'- questions,'+ of,1,[1],TRUE,N,N,N
'- AppHero,'+ App,1,[2],FALSE,Y,N,N
'- >http://apphero.com/careers</a>,'+ based,1,[2],FALSE,N,N,Y
'+ -,"'+ Toronto,",1,[2],FALSE,Y,N,N
'+ -,'+ Passionate,1,[2],TRUE,N,N,N
'+ -,'+ Exc,1,[2],TRUE,N,N,N
'- wielding),'+ (2.,1,[5],TRUE,N,N,N
'- >http://www.benbria.com/company/careers</a>,'+ ',1,[5],FALSE,N,N,Y
'- ROLE,'+ RROLE,1,[6],TRUE,N,Y,N
'- platforms.,'+ the,1,[7],TRUE,N,N,N
'- multicore,'+ divisionot,1,[7],TRUE,N,N,N
"'- microkernels,","'+ microkots,",1,[7],TRUE,N,N,N
"'- href=""http://careers.nvidia.com//pljb/nvidia/nvidiaemployment/applicant/jobClick.jsp?count=1&amp;id=9407""","'+ http://careers.nvf/pljb/nf-f-applicant/jobClick.jsp?,",1,[7],FALSE,N,N,Y
'- nvidia.com,'+ nvk.com',1,[7],FALSE,Y,N,N
'- ———,'+ &lt;&lt;,1,[8],FALSE,N,N,N
'- <a,'+ —,1,[8],FALSE,N,N,N
'- negatives.,'+ problems.,1,[8],TRUE,N,N,N
'- >http://ravelry.com/jobs</a>,'+ ',1,[11],FALSE,N,N,Y
'- donors,'+ investors,1,[12],TRUE,N,N,N
"'- bills,","'+ papers,",1,[13],TRUE,N,N,N
'- >http://byliner.com/jobs</a>,'+ |,1,[15],FALSE,N,N,Y
'+ front-end.,'+ We,1,[15],TRUE,N,N,N
'+ back-end,'+ developers.,1,[15],TRUE,N,N,N
'- savraj@,'+ coolraj@,1,[16],TRUE,Y,N,N
'- frozen,'+ rocket,1,[16],TRUE,N,N,N
"'- oats,",'+ instant,1,[16],TRUE,N,N,N
'- sugar,'+ added,1,[16],TRUE,N,N,N
'- preservatives.,'+ presews.,1,[16],TRUE,N,N,N
'- NVIDIA,'+ our,1,[17],FALSE,Y,N,N
'- multicore,'+ codecore,1,[17],TRUE,N,N,N
'- Practical,'+ P,1,[17],TRUE,N,N,N
'- nvidia.com,'+ nve.com',1,[17],FALSE,Y,N,N
'- frozen,'+ cloud,1,[19],TRUE,N,N,N
'- superfood,'+ superfoodes,1,[19],FALSE,N,Y,N
'- team,'+ does,1,[19],TRUE,N,N,N
'- chefs,"'+ smoothies,",1,[19],TRUE,N,N,N
'- nutritionists,'+ Harvest,1,[19],FALSE,Y,N,N
'- fruits,'+ Harvest,1,[19],FALSE,Y,N,N
"'- vegetables,",'+ Harvest,1,[19],FALSE,Y,N,N
'- cup,'+ Harvest,1,[19],FALSE,Y,N,N
'- so,'+ very,1,[19],TRUE,N,N,N
'- ropes,'+ ways,1,[20],TRUE,N,N,N
'- wont,'+ would,1,[20],FALSE,N,Y,N
'- >http://www.khitchdee.com</a>,'+ /,1,[20],FALSE,N,N,Y
'- questions,'+ recent,1,[22],TRUE,N,N,N
'+ cloud-based,'+ databases,1,[22],TRUE,N,N,N
'- questions,'+ such,1,[23],TRUE,N,N,N
"'+ tight-knit,","'+ experienced,",1,[24],TRUE,N,N,N
'- >http://eng.tobi.com/</a>,'+ ',1,[24],FALSE,N,N,Y
'+ -,'+ Web,1,[24],TRUE,N,N,N
'- donors,'+ donations,1,[26],TRUE,N,N,N
'+ -,"'+ City,",1,[26],FALSE,Y,N,N
'- snuff,'+ tosnuff,1,[28],FALSE,N,Y,N
'+ -,'+ Data,1,[28],TRUE,N,N,N
'- RG,'+ GR,1,[29],FALSE,Y,N,N
'- Although,'+ Since,1,[29],TRUE,N,N,N
'+ full-time,'+ positions,1,[29],TRUE,N,N,N
"'- Kik,","'+ K,",1,[30],TRUE,N,N,N
'- Wicked,'+ We,1,[30],TRUE,N,N,N
'- Unlike,'+ Since,1,[31],TRUE,N,N,N
'- port,'+ aport,1,[33],TRUE,N,N,N
'- REDACTED_EMAIL,'+ RED,1,[33],FALSE,N,Y,N
'- Unpakt,'+ Unukt,1,[34],FALSE,N,Y,N
'- Www.unpakt.com/jobs,'+ BookwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwWwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww,1,[34],FALSE,N,N,Y
'- Teespring,'+ httpespeek,1,[36],FALSE,N,N,Y
'- nimblestorage,'+ nimblestability,1,[37],FALSE,N,Y,N
'- >http://jobs.37signals.com/jobs/8551</a>,'+ Based,1,[38],FALSE,N,N,Y
'+ co-founder,'+ was,1,[38],TRUE,N,N,N
'- DISQUS?,'+ NOT,1,[39],FALSE,Y,N,N
'- topic,'+ matter,1,[39],TRUE,N,N,N
'- plants,'+ resources,1,[40],TRUE,n,N,N
'- peak,'+ ones,1,[40],TRUE,N,N,N
'- diminishing,'+ about,1,[40],TRUE,N,N,N
'- charming,'+ lovely,1,[40],TRUE,N,N,N
'- (grown,'+ (growing,1,[40],TRUE,N,Y,N
'- monkey,'+ mongo,1,[40],TRUE,N,Y,N
'- *,'+ -,1,[41],FALSE,N,N,N
'- harper,'+ sendharper,1,[41],TRUE,N,N,N
'+ -,'+ we,1,[41],TRUE,N,N,N
'- cofounder/CTO).,'+ cofounder/CTO).',1,[42],FALSE,N,N,N
'- Clever,'+ Cloudver,1,[43],FALSE,Y,N,N
'- tackled,'+ tackling,1,[46],TRUE,N,Y,N
'- bones.,'+ blood.,1,[46],TRUE,N,N,N
'- www.doubledutch.me,'+ doubledew.me,1,[47],FALSE,N,N,Y
'- remarkable.,'+ notable.,1,[47],TRUE,N,N,N
'+ award-winning,'+ provider,1,[47],TRUE,N,N,N
"'- caf,","'+ restaurant,",1,[49],TRUE,N,N,N
'- ♦,'+ •,1,[49],FALSE,N,N,N
'- LucidMedia,'+ Lucid,1,[52],FALSE,Y,N,N
'- eyeglasses.,'+ eyegglings.,1,[54],TRUE,N,N,N
'- When,'+ If,1,[54],TRUE,N,N,N
'- BrightTALK,'+ BrightTalk,1,[56],FALSE,Y,N,N
'+ --------------------------------,'+ Based,1,[56],FALSE,N,N,N
'- ♦,'+ Lead,1,[57],FALSE,N,N,N
'+ H-1B,'+ welcome,1,[58],FALSE,Y,N,N
"'+ Full-Time,",'+ H-1B,1,[59],FALSE,Y,N,N
"'- Wimbledon,",'+ Wim,1,[61],FALSE,Y,N,N
'- Wimbledon,'+ Wim,1,[61],FALSE,Y,N,N
'+ -,'+ Wim,1,[61],FALSE,N,N,N
'- CEOs,'+ executives,1,[62],FALSE,Y,N,N
'- tackled.,'+ handled.,1,[62],TRUE,N,N,N
'- Payroll,'+ Applyroll,1,[62],FALSE,Y,N,N
'- SA's,'+ S,1,[63],FALSE,N,Y,N
'- >http://turntable.fm/jobs</a>,'+ ',1,[64],FALSE,N,N,Y
'- (winter,'+ (sarn,1,[65],FALSE,N,N,N
"'- Fake,",'+ Comina,1,[65],TRUE,N,N,N
'- Flickr,'+ Flash,1,[65],FALSE,Y,N,N
'- Streak,'+ Strongak,1,[67],FALSE,Y,N,N
'- dime.,'+ note.,1,[67],TRUE,N,N,N
