Deletion,Addition,Count,Row Indices
''- INFO,''+ More,2,"[0, 6]"
''- questions,''+ of,1,[1]
''- >,''+ >',14,"[1, 23, 32, 79, 124, 133, 151, 189, 204, 216, 229, 243, 283, 309]"
''- AppHero,''+ App,1,[2]
''- >http://apphero.com/careers</a>,''+ based,1,[2]
''+ -,"''+ Toronto,",1,[2]
''+ -,''+ Passionate,1,[2]
''+ -,''+ Exc,1,[2]
''- wielding),''+ (2.,1,[5]
''- >http://www.benbria.com/company/careers</a>,''+ ',1,[5]
''- ROLE,''+ RROLE,1,[6]
''- NVIDIA.,''+ MIT.,2,"[7, 17]"
''- platforms.,''+ the,1,[7]
''- multicore,''+ divisionot,1,[7]
"''- microkernels,","''+ microkots,",1,[7]
"''- href=""http://careers.nvidia.com//pljb/nvidia/nvidiaemployment/applicant/jobClick.jsp?count=1&amp;id=9407""","''+ http://careers.nvf/pljb/nf-f-applicant/jobClick.jsp?,",1,[7]
''- nvidia.com,''+ nvk.com',1,[7]
''- ———,''+ &lt;&lt;,1,[8]
''- <a,''+ —,1,[8]
''- negatives.,''+ problems.,1,[8]
''- >http://ravelry.com/jobs</a>,''+ ',1,[11]
"''- Cleveland,","''+ City,",2,"[12, 26]"
''- donors,''+ investors,1,[12]
"''- bills,","''+ papers,",1,[13]
"''- (OpenLayers,","''+ (OpenLills,",2,"[14, 76]"
''- >http://www.camptocamp.com/en/careers</a>,''+ Based,2,"[14, 76]"
''+ -,''+ Python,3,"[14, 76, 76]"
''- >http://byliner.com/jobs</a>,''+ |,1,[15]
''+ front-end.,''+ We,1,[15]
''+ back-end,''+ developers.,1,[15]
"''- Princeton,","''+ Paris,",2,"[16, 19]"
''- savraj@,''+ coolraj@,1,[16]
''- frozen,''+ rocket,1,[16]
"''- oats,",''+ instant,1,[16]
''- sugar,''+ added,1,[16]
''- preservatives.,''+ presews.,1,[16]
"''- freezer,","''+ fridge,",2,"[16, 19]"
''- NVIDIA,''+ our,1,[17]
''- multicore,''+ codecore,1,[17]
''- Practical,''+ P,1,[17]
''- nvidia.com,''+ nve.com',1,[17]
''- com,''+ com',8,"[18, 30, 37, 106, 156, 187, 315, 383]"
''- frozen,''+ cloud,1,[19]
''- superfood,''+ superfoodes,1,[19]
''- team,''+ does,1,[19]
''- chefs,"''+ smoothies,",1,[19]
''- nutritionists,''+ Harvest,1,[19]
''- fruits,''+ Harvest,1,[19]
"''- vegetables,",''+ Harvest,1,[19]
''- cup,''+ Harvest,1,[19]
''- so,''+ very,1,[19]
''- intend,''+ plan,2,"[20, 298]"
''- ropes,''+ ways,1,[20]
''- wont,''+ would,1,[20]
''- >http://www.khitchdee.com</a>,''+ /,1,[20]
''- questions,''+ recent,1,[22]
